date,AGE0,AGE18,AGE65
2023-10-02,10647,39505,18191
2023-10-09,12115,40194,16617
2023-10-16,10879,38093,15259
2023-10-23,11203,30480,12083
2023-10-30,8950,26939,9505
2023-11-06,9498,24174,8296
2023-11-13,8068,20303,7233
2023-11-20,5438,12903,3975
2023-11-27,6471,16409,5129
2023-12-04,6025,13147,4322
2023-12-11,5400,11607,3583
2023-12-18,4326,10271,2843
2023-12-25,2833,5216,1485
2024-01-01,3437,6632,1537
2024-01-08,3417,7066,1619
2024-01-15,2631,5302,1005
2024-01-22,2965,5053,1112
2024-01-29,2455,4567,1022
2024-02-05,2120,3910,855
2024-02-12,1829,3238,687
2024-02-19,1686,2777,533
2024-02-26,1609,2282,470
2024-03-04,1621,2044,385
2024-03-11,1502,1880,342
2024-03-18,1216,1456,296
2024-03-25,1063,1298,214
2024-04-01,662,786,115
2024-04-08,592,657,91
2024-04-15,474,452,61
2024-04-22,387,467,54
2024-04-29,235,278,33
2024-05-06,178,179,19
2024-05-13,164,134,17
2024-05-20,148,108,5
2024-05-27,91,62,2
2024-06-03,91,59,4
2024-06-10,79,40,13
2024-06-17,60,27,2
2024-06-24,73,23,1
